sid,stream,name,mob_no,email,gender,x_perc,xii_perc,cet_perc,physics_xii,chem_xii,maths_xii,jee_perc,father_name,father_occupation,mother_name,mother_occupation,parent_income,pincode
20211100001,EXTC,Johnny Hill,9892437986,johnnyhill@gmail.com,M,89.93,77.28,55.38,54.54,62.05,84.27,24.53,Anthony Rowe,"Editor, magazine features",Judy Vasquez,Podiatrist,797948,400066
20211100002,EXTC,Russell Underwood,9867319334,russellunderwood@gmail.com,M,73.67,65.77,36.29,69.53,97.79,91.4,1.9,Ricky Fuller,Industrial buyer,Leah Hernandez,Public affairs consultant,560517,400015
20211100003,MECH,Christopher Raymond DDS,9665930499,christopherraymonddds@yahoo.com,M,75.03,57.5,19.01,58.88,68.2,93.26,72.74,Douglas Harris,Minerals surveyor,Natasha Hernandez,"Therapist, speech and language",778350,400011
20211100004,MECH,Amanda Ruiz,8454972039,amandaruiz@gmail.com,F,56.8,73.77,95.18,62.94,51.43,84.27,12.13,Steven Nolan,Veterinary surgeon,Renee Richardson,Pathologist,232905,400081
20211100005,MECH,Michael Knight,7738746668,michaelknight@gmail.com,M,92.6,57.13,33.17,95.28,63.3,86.17,41.88,Michael Molina,Race relations officer,Dawn Summers DDS,"Surveyor, mining",1010029,400069
20211100006,IT,Claire Dean,7738981209,clairedean@gmail.com,F,91.38,88.64,95.66,72.98,82.2,74.2,38.94,Joshua Chaney,Publishing copy,Ashley Hendrix,Optometrist,458702,400085
20211100007,COMPS,Felicia Garcia,9665986369,feliciagarcia@yahoo.com,F,99.24,95.3,2.53,78.91,57.38,87.24,39.78,Robert Allen,"Geologist, engineering",Sara Wood,Operational researcher,633859,400075
20211100008,COMPS,Shannon James,8450954772,shannonjames@gmail.com,M,89.58,97.96,71.49,96.55,70.85,84.45,14.13,Bryan Henry,Maintenance engineer,Elizabeth Roman,Engineering geologist,338836,400068
20211100009,MECH,Billy Davis,8452017377,billydavis@hotmail.com,M,62.32,63.16,76.93,64.01,85.2,90.78,32.32,Paul Davis,Company secretary,Krystal Mcclure,Armed forces logistics/support/administrative officer,719606,400067
20211100010,MECH,Paul Haas,9892019531,paulhaas@gmail.com,M,97.6,73.09,26.54,60.79,74.14,81.47,8.89,John Summers,Trade mark attorney,Danielle Gates,Television/film/video producer,454670,400101
20211100011,COMPS,Shane Gomez,9867940114,shanegomez@gmail.com,M,46.48,94.27,9.87,84.98,60.02,66.99,44.52,Scott Osborne,"Research officer, government",Caitlin Gilbert,Ship broker,785512,400072
20211100012,MECH,John Dixon,8454816187,johndixon@gmail.com,M,71.67,64.51,80.03,57.7,87.24,57.44,5.84,Christopher Snyder,"Conservator, furniture",Rebecca Thomas,"Administrator, arts",1420654,400082
20211100013,EXTC,Michael Munoz,7738598368,michaelmunoz@gmail.com,M,97.53,79.17,21.13,95.05,83.54,72.32,79.86,John Weeks,IT consultant,Jeanette Mills,"Surveyor, minerals",998481,400077
20211100014,EXTC,Michelle Russell,8451055043,michellerussell@gmail.com,F,78.39,54.92,83.29,91.45,66.26,95.75,16.29,Michael Martinez,Broadcast journalist,Dominique Lewis,Environmental manager,1184246,400061
20211100015,COMPS,Brandon Hudson,9665543968,brandonhudson@gmail.com,M,76.67,89.19,15.7,99.18,57.74,92.32,75.59,Spencer Monroe,Scientific laboratory technician,Deborah Baker,Music tutor,532645,400077
20211100016,MECH,Mr. George Jordan,8454016818,mr.georgejordan@gmail.com,M,93.55,97.14,30.38,54.35,57.2,59.29,71.01,Daniel Collins,Recycling officer,Christina Munoz,Learning mentor,238934,400014
20211100017,IT,Dennis Vazquez,8452842229,dennisvazquez@gmail.com,M,43.2,54.32,13.82,80.52,58.3,52.08,44.72,Mike Martinez,Tour manager,Annette Shaw,Sales executive,538351,400002
20211100018,COMPS,Laura Cox,9987771182,lauracox@gmail.com,F,69.69,76.48,0.82,67.07,80.01,63.17,57.96,Anthony Bell,Applications developer,Sarah Jackson,Armed forces operational officer,953030,400053
20211100019,MECH,Amber Anderson,9004388839,amberanderson@yahoo.com,F,80.48,58.77,96.3,85.52,89.67,51.34,39.73,Austin Hunter,Aeronautical engineer,Michelle Goodwin,Visual merchandiser,1049847,400023
20211100020,IT,Charles Anderson,8452927680,charlesanderson@gmail.com,M,45.95,94.59,89.13,65.34,91.01,57.03,52.73,James Edwards,Oceanographer,Cynthia Buckley,Web designer,315202,400055
20211100021,MECH,Gabriel Thompson,9967336784,gabrielthompson@gmail.com,M,95.81,93.7,66.61,51.5,54.54,81.44,66.59,Matthew Henry,Youth worker,Angela Brown,Clinical biochemist,607286,400092
20211100022,MECH,Juan Nelson,9892145128,juannelson@gmail.com,M,43.35,55.64,78.08,88.13,59.44,99.01,77.46,Roger Hansen,International aid/development worker,Amy Benson,Occupational psychologist,1032047,400097
20211100023,IT,Nicholas Page,9892881519,nicholaspage@gmail.com,M,59.63,91.76,69.95,59.86,56.1,66.94,35.73,Ronald Sparks,"Social research officer, government",Samantha Lopez,Paramedic,1459342,400048
20211100024,COMPS,David Burke,8452939760,davidburke@gmail.com,M,35.68,65.67,82.68,55.13,68.21,90.13,5.78,Carlos Smith,Chartered accountant,Heather Walker,"Engineer, control and instrumentation",302710,400020
20211100025,EXTC,Nancy Luna,8451089540,nancyluna@gmail.com,F,89.25,89.42,31.31,83.88,59.09,75.51,70.5,Ryan Johnston,Contractor,Christine Lloyd,"Chemist, analytical",777743,400031
20211100026,COMPS,Erika Ortiz,8999491641,erikaortiz@gmail.com,F,72.45,88.19,41.5,97.11,57.39,83.71,20.28,Christopher Rangel,Medical laboratory scientific officer,Natasha Garcia,Aeronautical engineer,1420102,400049
20211100027,EXTC,Scott Hughes,9987940720,scotthughes@gmail.com,M,53.83,93.23,21.43,56.46,54.85,75.88,64.61,Keith Boyd,"Administrator, sports",Emily Torres,Freight forwarder,251533,400067
20211100028,MECH,Patrick Potter,9892871480,patrickpotter@hotmail.com,M,71.75,61.41,22.01,58.1,51.56,70.14,79.63,Christopher Martinez,"Scientist, research (life sciences)",Tiffany Smith DDS,Hospital doctor,690507,400042
20211100029,IT,Donna Copeland,8452861816,donnacopeland@gmail.com,F,97.48,93.61,3.07,66.8,53.18,95.67,52.38,Michael Schneider,Learning disability nurse,Rebecca Robinson,Investment analyst,713028,400045
20211100030,IT,Gregory Obrien MD,9987550217,gregoryobrienmd@gmail.com,M,54.95,67.31,17.84,50.32,55.08,82.38,39.98,Michael Collier,"Therapist, art",Nancy Smith,Arts administrator,1135783,400061
20211100031,COMPS,Justin Stone,9987095915,justinstone@gmail.com,M,71.21,96.64,34.63,79.24,74.84,74.1,43.76,Brian White,"Education officer, museum",Sabrina Bruce,Animal nutritionist,221823,400031
20211100032,MECH,Brian Wright,9987242879,brianwright@gmail.com,M,97.51,95.68,68.06,65.87,76.7,77.37,50.59,Nathan Galvan,Engineering geologist,Destiny Evans,Interpreter,1353800,400050
20211100033,EXTC,Christina Woods,8999746733,christinawoods@gmail.com,F,99.52,94.7,53.91,74.06,66.85,94.47,18.82,Jay Walker,Associate Professor,Christina Simmons,"Scientist, audiological",1472631,400078
20211100034,MECH,Jennifer Johnson,7738074456,jenniferjohnson@gmail.com,F,76.03,69.26,26.13,51.0,99.78,95.0,80.03,Ronnie Morgan,Archaeologist,Nancy Swanson,Trading standards officer,186089,400059
20211100035,COMPS,James Palmer,9967955088,jamespalmer@hotmail.com,M,53.48,68.5,45.27,72.18,57.42,57.84,19.29,William Berry,"Designer, furniture",Kathryn Matthews,Pension scheme manager,948685,400093
20211100036,COMPS,Anna Turner,9665737200,annaturner@gmail.com,F,65.44,89.33,94.38,63.88,93.26,66.17,27.27,Nicholas Richmond,"Scientist, research (maths)",Nichole Moore,Lawyer,1374292,400024
20211100037,EXTC,Kelly Butler,9867199744,kellybutler@gmail.com,F,91.72,92.47,8.4,65.73,60.42,53.74,6.28,Adam Johnson,"Loss adjuster, chartered",Kelly Pena,Veterinary surgeon,842343,400021
20211100038,COMPS,Mr. Brian Johnson DDS,9867258242,mr.brianjohnsondds@gmail.com,M,39.05,86.3,50.82,60.02,63.55,53.96,56.43,Thomas Barker,Company secretary,Desiree Miller,"Teacher, secondary school",769315,400035
20211100039,EXTC,David Wilkerson,9892622177,davidwilkerson@gmail.com,M,38.63,88.98,70.75,58.73,51.45,66.52,18.05,Kevin Sparks,"Journalist, magazine",Barbara Walker,Civil Service fast streamer,256691,400026
20211100040,MECH,Colton Hoffman,9665774592,coltonhoffman@gmail.com,M,53.37,75.35,68.24,61.76,84.13,97.63,35.59,Michael Hunt,Financial adviser,Mia Burton,Chiropractor,582519,400059
20211100041,COMPS,Daniel Ponce,9665477656,danielponce@gmail.com,M,94.25,53.93,18.6,71.21,93.26,99.06,25.07,Philip Holland,Environmental consultant,Pam Morales,Colour technologist,1453917,400020
